requestedUrl,finalUrl,category,name,title,type,score
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","performance-score","Overall Performance Category Score","numeric","0.36"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","first-contentful-paint","First Contentful Paint","numeric","0.46"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","speed-index","Speed Index","numeric","0.08"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","interactive","Time to Interactive","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","total-blocking-time","Total Blocking Time","numeric","0.65"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.75"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.8"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.72"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-responsive-images","Properly size images","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","offscreen-images","Defer offscreen images","numeric","0.18"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","unminified-css","Minify CSS","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.37"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-optimized-images","Efficiently encode images","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","server-response-time","Initial server response time was short","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-http2","Use HTTP/2","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","total-byte-weight","Avoid enormous network payloads","numeric","0.05"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","dom-size","Avoid an excessive DOM size","numeric","0.09"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.71"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.26"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","third-party-summary","Reduce the impact of third-party code","binary","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","no-document-write","Avoid `document.write()`","binary","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","network-requests","Network Requests","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","main-thread-tasks","Tasks","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","diagnostics","Diagnostics","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","metrics","Metrics","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.92"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-allowed-attr","`[aria-*]` attributes do not match their roles","binary","0"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","binary","1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","notApplicable","-1"
"https://www.ltdcommodities.com/content/country-decor","https://www.ltdcommodities.com/content/country-decor","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
